ssp,pop,fixed_sel_mean,fixed_low,fixed_high,alpha_mean,alpha_low,alpha_high
LR,LR_Amatlan_de_Canas,448.13350448694246,123.00762429306337,970.1902636339753,0.25918077345678353,0.18398897511381782,0.33996682450639965
LR,LR_Crucero_Lagunitas,601.7084334595634,149.4759588408248,1292.5648509506486,0.22516361848928135,0.15005908475695728,0.309205953596662
LR,LR_Los_Guajes,485.62119282918144,123.42606953384738,1049.6945250592655,0.2186055359026527,0.14771830903631755,0.30470549776269323
LR,LR_Palmar_Chico,267.9778819054449,71.13943485608915,557.0219769772544,0.298718138434321,0.2156630869674604,0.3970802521341398
LR,LR_random,514.730081313319,132.05833581321292,1110.6503267406829,0.21688431114959195,0.14290788090898213,0.29858855818979513
LR,LR_random1_Palmar_Chico,407.9795388405737,103.4445457593112,870.0986543724563,0.2162415153044699,0.14600494839904596,0.2900978355886756
LR,LR_random2_Palmar_Chico,463.4736833164381,127.92475959206513,991.0312097219652,0.2555479910527187,0.1832251830022563,0.3329645798220603
LR,LR_San_Lorenzo,400.14427560075103,101.11611285080643,849.4101807200744,0.2309172518370872,0.15382959745612557,0.31827741699641515
Teo,Teo_Amatlan_de_Canas,874.041687100101,228.39429532494333,1993.0046778243152,0.1713219876540493,0.1119793332092691,0.24072875958177975
Teo,Teo_Crucero_Lagunitas,1200.4438389478328,326.0158712848732,2677.54527307271,0.18916534213203073,0.12586651333161844,0.2576167461371496
Teo,Teo_El_Rodeo,970.4173619920106,251.49706578776653,2211.7443123346716,0.14483927167737742,0.08524720310124209,0.21331117033520652
Teo,Teo_Los_Guajes,856.10299272763,231.54244435964506,1811.7425920710607,0.29310126273827736,0.21133641121849558,0.3909292194131947
Teo,Teo_Palmar_Chico,447.2806480188785,103.7736538772882,906.1377088132642,0.360060650881044,0.25505027905593086,0.512175587470878
Teo,Teo_random,916.8836415958401,236.8035518385089,1956.5067854394056,0.273782146535932,0.19005267322400732,0.37512502868024733
Teo,Teo_random1_Palmar_Chico,783.4019308900113,196.74775775853004,1645.9698801586583,0.29269070395977864,0.20835522094283684,0.3918262386591635
Teo,Teo_random2_Palmar_Chico,732.9652843125398,187.21167989909918,1522.5986053834126,0.28093734768650164,0.19979240106391677,0.37687168205352245
Teo,Teo_San_Lorenzo,1047.6024785226791,243.23009222441004,2588.489631119058,0.11213201443497964,0.05043558704577032,0.1841608110113969
