alpha,error,low,high,ssp,nuc_type,pop,allele_frequency
0.24625617260301122,0.025374207976192213,0.1981603686149899,0.2973876704931503,LR,All,LR_Amatlan_de_Canas,1
0.2235562550551699,0.02861230546597102,0.17082244182762615,0.2823572736899779,LR,SS_WW,LR_Amatlan_de_Canas,1
0.267244167543435,0.03447318047741388,0.20553213243269988,0.34199741022643465,LR,SW,LR_Amatlan_de_Canas,1
0.29534922595658,0.02953524990891324,0.23604296597577107,0.35098545415585464,LR,WS,LR_Amatlan_de_Canas,1
0.21518416727632864,0.025220849744791662,0.1664256623410521,0.2652208686163167,LR,All,LR_Crucero_Lagunitas,1
0.18737868428284293,0.025966291304649523,0.1363517334715608,0.23657632024625252,LR,SS_WW,LR_Crucero_Lagunitas,1
0.22763712683219997,0.02978723357213708,0.16721173556067,0.2841211324954152,LR,SW,LR_Crucero_Lagunitas,1
0.27435040765670243,0.030270898395560582,0.21827596197230908,0.33953398701167903,LR,WS,LR_Crucero_Lagunitas,1
0.20611324611049076,0.025627727318058947,0.15692505411360178,0.25810519143014726,LR,All,LR_Los_Guajes,1
0.18059887954536025,0.02629040110017813,0.12819245085526837,0.23173865671560617,LR,SS_WW,LR_Los_Guajes,1
0.22038921373017015,0.03013959894944509,0.15935483383435653,0.2789541357338537,LR,SW,LR_Los_Guajes,1
0.2615512107717726,0.030754589617643335,0.20640907490443294,0.3275099455791804,LR,WS,LR_Los_Guajes,1
0.2883040795763946,0.023668977021462964,0.24061611652907758,0.3328899324182874,LR,All,LR_Palmar_Chico,1
0.2522704449322246,0.025127675472339836,0.20414949833987928,0.3019971141498777,LR,SS_WW,LR_Palmar_Chico,1
0.2861880932274948,0.030056753115289853,0.2290403706550918,0.34706621466245907,LR,SW,LR_Palmar_Chico,1
0.36720454442306494,0.025085455651408677,0.3155768063301235,0.41420467344315665,LR,WS,LR_Palmar_Chico,1
0.20402449979082493,0.026073198089925677,0.15304114401026192,0.25483429627955223,LR,All,LR_random,1
0.17957758848512004,0.027460423504722317,0.12388105960333962,0.23307938079611162,LR,SS_WW,LR_random,1
0.2185534948551389,0.03160215952376895,0.1538831392419835,0.2791859667514742,LR,SW,LR_random,1
0.2581247930082322,0.030863214930126302,0.200813329904537,0.3221323413402092,LR,WS,LR_random,1
0.20559846078642685,0.024320133024085862,0.15761020136017995,0.25208726169272555,LR,All,LR_random1_Palmar_Chico,1
0.18297204511678145,0.025900725662635852,0.13256480522032787,0.2336951021341867,LR,SS_WW,LR_random1_Palmar_Chico,1
0.2249184474547924,0.03048983844711502,0.16567338248830565,0.2853290817645247,LR,SW,LR_random1_Palmar_Chico,1
0.25422829893406,0.02746985960819828,0.20009446966274533,0.3066248968921921,LR,WS,LR_random1_Palmar_Chico,1
0.2438211285239232,0.02517980450166396,0.19439738560391032,0.2931643554753041,LR,All,LR_random2_Palmar_Chico,1
0.21906966818790685,0.027253428316001183,0.1668806102641515,0.27397836611093523,LR,SS_WW,LR_random2_Palmar_Chico,1
0.26204289214894194,0.03278798804876407,0.20132047131978675,0.33156657000812745,LR,SW,LR_random2_Palmar_Chico,1
0.2963734120790123,0.028895720306722432,0.23665218854372305,0.35107056359493227,LR,WS,LR_random2_Palmar_Chico,1
0.21908375411750527,0.02530423720240957,0.16748950649001856,0.26691431527003856,LR,All,LR_San_Lorenzo,1
0.191417328267295,0.027128299273618237,0.13647691490918007,0.2438460178545204,LR,SS_WW,LR_San_Lorenzo,1
0.22971454608019587,0.0316588052556116,0.164398720057256,0.28893546330502945,LR,SW,LR_San_Lorenzo,1
0.27911820726802317,0.028438683092397842,0.2233138707740533,0.33491821575355973,LR,WS,LR_San_Lorenzo,1
0.15872839049065998,0.02407142432283631,0.11441714798801382,0.2089383213307396,Teo,All,Teo_Amatlan_de_Canas,1
0.1486421502310615,0.025966651394633514,0.09963010445955306,0.20237124484279334,Teo,SS_WW,Teo_Amatlan_de_Canas,1
0.19746806390690627,0.030053262651698328,0.14108423699831127,0.2599313466418903,Teo,SW,Teo_Amatlan_de_Canas,1
